August,Maryland,0.069
August,Massachusetts,0.113
August,Michigan,0.087
August,Minnesota,0.074
August,Mississippi,0.079
August,Missouri,0.07
August,Montana,0.056
August,Nebraska,0.04
August,Nevada,0.132
August,New Hampshire,0.065
August,New Jersey,0.109
August,New Mexico,0.113
August,New York,0.125
August,North Carolina,0.065
August,North Dakota,0.05
August,Ohio,0.089
August,Oklahoma,0.057
August,Oregon,0.077
August,Pennsylvania,0.103
August,Rhode Island,0.128
August,South Carolina,0.063
August,South Dakota,0.048
August,Tennessee,0.085
August,Texas,0.068
August,Utah,0.041
August,Vermont,0.048
August,Virginia,0.061
August,Washington,0.085
August,West Virginia,0.089
August,Wisconsin,0.062
August,Wyoming,0.066
August,Puerto Rico,
